---------- SpectralCalc.com -------------
 
 query:
    database: unknown
    molecules: O2 (7)
    lower waveband limit: 0.760 microns (13157.8947368421 cm-1)
    upper waveband limit: 0.781 microns (12804.0973111396 cm-1)
    intensity threshold: none
 
 number of lines found: 374
 
molecule, isotope, frequency, intensity, einstein_a, air_halfwidth, self_halfwidth, lower_energy, t_exponent, p_shift, upper_global, lower_global, upper_local, lower_local, err1, err2, err3, err4, err5, err6, ref1, ref2, ref3, ref4, ref5, ref6, mixing_flag, upper_weight, lower_weight
7,1,12934.548237,2.844e-27,0.01771,0.0478,0.049,1743.1576,0.73,-0.0075,       b      1,       X      1,, P 11Q 10     d,3,4,6,4,4,4,42,5,5,3,1,1,,21,21
7,1,12934.74895,3.62e-30,0.00000006692,0.0417,0.042,662.4359,0.64,-0.0085,       b      0,       X      0,, N 21O 20     q,5,7,6,6,5,3,47,28,7,4,1,2,,37,41
7,1,12939.949105,1.234e-27,0.02258,0.0255,0.029,2232.0957,0.63,-0.01,       b      0,       X      0,, P 39P 39     d,4,7,6,6,5,3,45,26,15,12,1,2,,77,79
7,1,12940.16093,3.522e-27,0.02047,0.0491,0.049,1685.41,0.74,-0.0075,       b      1,       X      1,, P  9P  9     d,3,4,6,4,4,4,42,5,5,3,1,1,,17,19
7,1,12941.615675,1.202e-27,0.02182,0.0255,0.029,2230.4292,0.63,-0.01,       b      0,       X      0,, P 39Q 38     d,4,7,6,6,5,3,45,26,15,12,1,2,,77,77
7,1,12942.110059,3.093e-27,0.01782,0.0491,0.049,1683.4608,0.74,-0.0073,       b      1,       X      1,, P  9Q  8     d,3,4,6,4,4,4,42,5,5,3,1,1,,17,17
7,1,12947.310136,3.565e-27,0.02145,0.0507,0.052,1637.0905,0.73,-0.007,       b      1,       X      1,, P  7P  7     d,3,4,6,4,4,4,42,5,5,3,1,1,,13,15
7,1,12949.287021,3.014e-27,0.01797,0.0507,0.052,1635.1137,0.73,-0.0071,       b      1,       X      1,, P  7Q  6     d,3,4,6,4,4,4,42,5,5,3,1,1,,13,13
7,1,12952.723123,3.397e-27,0.02264,0.0266,0.03,2012.9006,0.63,-0.01,       b      0,       X      0,, P 37P 37     d,4,7,6,6,5,3,45,26,15,12,1,2,,73,75
7,1,12954.070167,3.202e-27,0.02328,0.053,0.053,1600.1329,0.74,-0.0071,       b      1,       X      1,, P  5P  5     d,3,4,6,4,4,4,42,5,5,3,1,1,,9,11
7,1,12954.406761,3.304e-27,0.02184,0.0266,0.03,2011.217,0.63,-0.01,       b      0,       X      0,, P 37Q 36     d,4,7,6,6,5,3,45,26,15,12,1,2,,73,73
7,1,12955.16606,5.86e-30,0.0000000688,0.0434,0.043,544.8622,0.65,-0.0078,       b      0,       X      0,, N 19O 18     q,5,7,6,6,5,3,47,28,7,4,1,2,,33,37
7,1,12956.08459,2.532e-27,0.01823,0.053,0.053,1598.1184,0.72,-0.00645,       b      1,       X      1,, P  5Q  4     d,3,4,6,4,4,4,42,5,5,3,1,1,,9,9
7,1,12960.440683,2.418e-27,0.02797,0.0563,0.055,1574.5429,0.7,-0.0056,       b      1,       X      1,, P  3P  3     d,3,4,6,4,4,4,42,5,5,3,1,1,,5,7
7,1,12962.526313,1.65e-27,0.0189,0.0563,0.055,1572.4573,0.71,-0.0051,       b      1,       X      1,, P  3Q  2     d,3,4,6,4,4,4,42,5,5,3,1,1,,5,5
7,1,12965.108162,8.838e-27,0.02271,0.0278,0.032,1804.881,0.63,-0.0097,       b      0,       X      0,, P 35P 35     d,4,8,6,6,5,3,45,26,15,12,1,2,,69,71
7,1,12966.421806,1.296e-27,0.07001,0.0615,0.059,1560.3249,0.72,-0.0052,       b      1,       X      1,, P  1P  1     d,3,4,6,4,4,4,42,5,5,3,1,1,,1,3
7,1,12966.80893,8.579e-27,0.02187,0.0278,0.032,1803.1802,0.63,-0.0096,       b      0,       X      0,, P 35Q 34     d,5,8,7,7,5,3,45,26,15,12,1,2,,69,69
7,3,12970.822007,4.404e-30,0.02404,0.0278,0.032,1752.7051,0.63,-0.0097,       b      0,       X      0,, P 35P 35     d,3,5,6,6,5,3,46,27,15,12,1,2,,414,426
7,3,12972.530801,4.278e-30,0.02317,0.0278,0.032,1750.9963,0.63,-0.0096,       b      0,       X      0,, P 35Q 34     d,3,5,6,6,5,3,46,27,15,12,1,2,,414,414
7,1,12974.658663,6.486e-28,0.007017,0.0563,0.055,1560.3249,0.71,-0.005,       b      1,       X      1,, R  1R  1     d,3,4,6,4,4,4,42,5,5,3,1,1,,5,3
7,1,12975.23027,8.83e-30,0.00000007063,0.0447,0.044,438.701,0.65,-0.0074,       b      0,       X      0,, N 17O 16     q,5,7,6,6,5,3,47,28,7,4,1,2,,29,33
7,2,12975.867106,2.666e-29,0.02216,0.0278,0.032,1705.8,0.63,-0.0097,       b      0,       X      0,, P 35P 35     d,4,7,6,7,5,3,46,27,15,12,1,2,,69,71
7,1,12976.543778,1.505e-27,0.01614,0.0563,0.055,1558.4398,0.71,-0.0051,       b      1,       X      1,, R  1Q  2     d,3,4,6,4,4,4,42,5,5,3,1,1,,5,5
7,3,12976.687356,6.854e-30,0.02408,0.0286,0.032,1655.8106,0.63,-0.0096,       b      0,       X      0,, P 34P 34     d,3,5,6,6,5,3,46,27,15,12,1,2,,402,414
7,1,12977.107088,2.17e-26,0.02278,0.0294,0.033,1608.0705,0.63,-0.0095,       b      0,       X      0,, P 33P 33     d,5,8,7,7,5,3,45,26,15,12,1,2,,65,67
7,2,12977.582955,2.591e-29,0.02136,0.0278,0.032,1704.0841,0.63,-0.0096,       b      0,       X      0,, P 35Q 34     d,4,7,6,7,5,3,46,27,15,12,1,2,,69,69
7,3,12978.404475,6.651e-30,0.02318,0.0286,0.032,1654.0935,0.63,-0.0095,       b      0,       X      0,, P 34Q 33     d,3,5,6,6,5,3,46,27,15,12,1,2,,402,402
7,1,12978.825055,2.102e-26,0.02189,0.0294,0.033,1606.3526,0.63,-0.0094,       b      0,       X      0,, P 33Q 32     d,5,8,7,7,5,3,45,26,15,12,1,2,,65,65
